Naam	Team	Nationaliteit	Lengte	Gewicht	Leeftijd	AVG	FLT	COB	HLL	MTN	SPR	ITT	GC	OR	TTL
Jai Hindley	Red Bull-BORA-hansgrohe	Australia	175 cm	60 kg	29 jaar	90	52	20	84	91	50	53	90	72	40
Enric Mas	Movistar Team	Spain	177 cm	61 kg	31 jaar	90	53	20	88	91	50	51	90	75	45
Jasper Stuyven	Soudal Quick-Step	Belgium	187 cm	80 kg	33 jaar	90	90	93	85	39	79	46	53	92	35
Sepp Kuss	Team Visma | Lease a Bike	United States	182 cm	61 kg	31 jaar	90	42	31	79	92	45	45	90	51	39
Egan Bernal	INEOS Grenadiers	Colombia	175 cm	60 kg	29 jaar	90	50	20	90	89	49	45	89	74	45
Mike Teunissen	XDS Astana Team	Netherlands	184 cm	73 kg	33 jaar	90	88	91	84	34	88	26	51	92	20
Olav Kooij	Decathlon CMA CGM Team	Netherlands	184 cm	72 kg	24 jaar	90	90	73	80	29	96	24	53	92	20
Stefan Küng	Tudor Pro Cycling Team	Switzerland	193 cm	83 kg	32 jaar	90	91	92	81	47	57	92	45	91	92
Søren Wærenskjold	Uno-X Mobility	Norway	195 cm	92 kg	25 jaar	90	89	89	64	26	91	84	58	91	82
Florian Vermeersch	UAE Team Emirates-XRG	Belgium	193 cm	85 kg	26 jaar	90	88	92	86	39	63	75	52	91	65
Ilan Van Wilder	Soudal Quick-Step	Belgium	171 cm	64 kg	25 jaar	89	75	35	86	85	49	90	84	84	91
Carlos Rodríguez	INEOS Grenadiers	Spain	183 cm	67 kg	25 jaar	89	55	20	82	90	55	71	89	53	60
Santiago Buitrago	Bahrain Victorious	Colombia	174 cm	59 kg	26 jaar	89	58	20	90	90	51	64	85	85	57
Jordi Meeus	Red Bull-BORA-hansgrohe	Belgium	190 cm	80 kg	27 jaar	89	89	84	70	24	94	20	35	92	20
Antonio Tiberi	Bahrain Victorious	Italy	182 cm	62 kg	24 jaar	89	65	20	84	89	49	82	88	59	63
Tobias Halland Johannessen	Uno-X Mobility	Norway	176 cm	62 kg	26 jaar	89	63	56	90	86	55	42	89	87	36
Neilson Powless	EF Education-EasyPost	United States	183 cm	67 kg	29 jaar	88	89	92	92	59	53	56	52	94	53
Jhonatan Narváez	UAE Team Emirates-XRG	Ecuador	174 cm	65 kg	28 jaar	88	68	72	90	80	65	28	85	85	27
Matteo Trentin	Tudor Pro Cycling Team	Italy	179 cm	74 kg	36 jaar	88	84	88	83	32	88	42	50	91	38
Derek Gee-West	Lidl-Trek	Canada	189 cm	72 kg	28 jaar	88	65	35	77	86	54	83	89	61	79
Valentin Madouas	Groupama-FDJ United	France	179 cm	71 kg	29 jaar	88	80	88	91	64	58	35	69	92	35
Pavel Sivakov	UAE Team Emirates-XRG	France	188 cm	70 kg	28 jaar	88	60	20	91	85	42	47	75	91	43
Giulio Pellizzari	Red Bull-BORA-hansgrohe	Italy	183 cm	66 kg	22 jaar	88	47	20	76	90	34	48	90	61	37
Pello Bilbao	Bahrain Victorious	Spain	174 cm	60 kg	35 jaar	88	66	68	90	85	51	66	84	89	48
Lorenzo Fortunato	XDS Astana Team	Italy	170 cm	57 kg	29 jaar	88	51	20	86	90	34	30	83	74	29
Guillaume Martin-Guyonnet	Groupama-FDJ United	France	173 cm	55 kg	32 jaar	88	63	20	90	81	61	36	87	89	35
Fred Wright	Pinarello-Q36.5 Pro Cycling Team	Great Britain	184 cm	75 kg	26 jaar	88	81	90	85	43	81	54	59	91	46
Tiesj Benoot	Decathlon CMA CGM Team	Belgium	190 cm	72 kg	31 jaar	88	89	93	92	58	60	25	46	94	23
Jordan Jegat	Team TotalEnergies	France	176 cm	59 kg	26 jaar	87	57	20	90	75	49	38	85	80	35
Toms Skujiņš	Lidl-Trek	Latvia	181 cm	72 kg	34 jaar	87	84	90	92	54	56	49	55	93	46
Jonas Abrahamsen	Uno-X Mobility	Norway	183 cm	78 kg	30 jaar	87	85	90	90	42	71	29	41	91	28
Aleksandr Vlasov	Red Bull-BORA-hansgrohe	Russia	186 cm	68 kg	29 jaar	87	68	20	82	89	57	82	81	70	72
Romain Grégoire	Groupama-FDJ United	France	176 cm	64 kg	23 jaar	87	72	31	93	68	54	63	75	92	52
Michael Matthews	Team Jayco-AlUla	Australia	178 cm	72 kg	35 jaar	87	79	81	91	39	67	46	33	94	42
Mauro Schmid	Team Jayco-AlUla	Switzerland	187 cm	70 kg	26 jaar	87	74	20	91	70	49	73	68	91	64
Einer Rubio	Movistar Team	Colombia	164 cm	56 kg	27 jaar	87	41	20	76	90	45	32	86	62	31
Luca Mozzato	Tudor Pro Cycling Team	Italy	178 cm	67 kg	28 jaar	86	84	88	66	27	89	20	34	90	20
Magnus Sheffield	INEOS Grenadiers	United States	183 cm	73 kg	23 jaar	86	79	83	84	65	54	86	72	86	82
Laurence Pithie	Red Bull-BORA-hansgrohe	New Zealand	185 cm	74 kg	23 jaar	86	81	86	77	37	87	45	40	89	46
Stefan Bissegger	Decathlon CMA CGM Team	Switzerland	181 cm	78 kg	27 jaar	86	85	89	55	33	69	88	38	87	82
Jan Christen	UAE Team Emirates-XRG	Switzerland	183 cm	60 kg	21 jaar	86	70	20	91	71	54	58	69	91	45
Marc Soler	UAE Team Emirates-XRG	Spain	186 cm	68 kg	32 jaar	86	46	33	72	91	38	48	76	43	41
Harold Tejada	XDS Astana Team	Colombia	180 cm	63 kg	28 jaar	86	62	20	87	84	53	75	82	60	65
