Race	Rnk	Rider	Team	UCI	Pnt	Time
OHN	91	 Mattio Pietro	Team Visma | Lease a Bike		5	,,
OHN	92	 De Pooter Dries	Team Jayco AlUla		5	,,
OHN	93	 Maciejuk Filip	Movistar Team		5	,,
OHN	94	 Małecki Kamil	Pinarello Q36.5 Pro Cycling Team		5	,,
OHN	95	 Canal Carlos	Movistar Team		5	,,
OHN	96	 Capiot Amaury	Team Jayco AlUla		5	,,
OHN	97	 De Pestel Sander	Decathlon CMA CGM Team		5	,,
OHN	98	 Sénéchal Florian	Alpecin-Premier Tech		5	,,
OHN	99	 Tronchon Bastien	Groupama - FDJ United		5	,,
OHN	100	 Bettiol Alberto	XDS Astana Team		5	,,
OHN	101	 O'Brien Kelland	Team Jayco AlUla		5	,,
OHN	102	 Kopecký Tomáš	Unibet Rose Rockets		5	,,
OHN	103	 Kmínek Vojtěch	Burgos Burpellet BH		5	09:47
OHN	104	 Cavia Daniel	Burgos Burpellet BH		5	,,
OHN	105	 Bayer Tobias	Alpecin-Premier Tech		5	,,
OHN	106	 De Bondt Dries	Team Jayco AlUla		5	,,
OHN	107	 van den Berg Julius	Team Picnic PostNL		5	,,
OHN	108	 Heiduk Kim	INEOS Grenadiers		5	,,
OHN	109	 Belmans Lennert	Alpecin-Premier Tech		5	,,
OHN	110	 Vervenne Jonathan	Soudal Quick-Step		5	,,
OHN	111	 Sheffield Magnus	INEOS Grenadiers		5	,,
OHN	112	 Withen Philipsen Albert	Lidl - Trek		5	,,
OHN	113	 Lanhove Milan	Team Flanders - Baloise		5	,,
OHN	114	 Alleno Clément 	Burgos Burpellet BH		5	,,
OHN	115	 Vercouillie Victor	Team Flanders - Baloise		5	,,
OHN	116	 Vacek Mathias	Lidl - Trek		5	,,
OHN	117	 Degenkolb John	Team Picnic PostNL		5	,,
OHN	118	 Reinderink Pepijn	Soudal Quick-Step		5	,,
OHN	119	 Frison Frederik	Pinarello Q36.5 Pro Cycling Team		5	,,
OHN	120	 Van Moer Brent	Pinarello Q36.5 Pro Cycling Team		5	,,
OHN	121	 Gate Aaron	XDS Astana Team		5	,,
OHN	122	 Bonnet Thomas	TotalEnergies		5	,,
OHN	123	 Mullen Ryan	NSN Cycling Team		5	,,
OHN	124	 Shmidt Artem	INEOS Grenadiers		5	,,
OHN	125	 Romele Alessandro	XDS Astana Team		5	,,
OHN	126	 Madouas Valentin	Groupama - FDJ United		5	,,
OHN	127	 Feldmann Karsten Larsen	Unibet Rose Rockets		5	,,
OHN	128	 Boivin Guillaume	NSN Cycling Team		5	,,
OHN	129	 Bévort Carl-Frederik	Uno-X Mobility		5	,,
OHN	130	 Allegaert Piet	Cofidis		5	,,
OHN	131	 Bloem Joren	Unibet Rose Rockets		5	,,
OHN	132	 van Sintmaartensdijk Roel	Lotto Intermarché		5	,,
OHN	133	 Drizners Jarrad	Red Bull - BORA - hansgrohe		5	,,
OHN	134	 Haller Marco	Tudor Pro Cycling Team		5	,,
OHN	135	 Deweirdt Siebe	Team Flanders - Baloise		5	,,
OHN	136	 Louvel Matis	NSN Cycling Team		5	,,
OHN	DNF	 Bissegger Stefan	Decathlon CMA CGM Team			
OHN	DNF	 Bol Cees	Decathlon CMA CGM Team			
OHN	DNF	 Philipsen Jasper	Alpecin-Premier Tech			
OHN	DNF	 Mayer Alexandre	Burgos Burpellet BH			
OHN	DNF	 Bouglas Georgios	Burgos Burpellet BH			
OHN	DNF	 Burnett Josh	Burgos Burpellet BH			
OHN	DNF	 Macías César	Burgos Burpellet BH			
OHN	DNF	 Gachignard Thomas	TotalEnergies			
OHN	DNF	 Leroux Samuel	TotalEnergies			
OHN	DNF	 Foldager Anders	Team Jayco AlUla			
OHN	DNF	 Oliveira Rui	UAE Team Emirates - XRG			
OHN	DNF	 Molano Juan Sebastián	UAE Team Emirates - XRG			
OHN	DNF	 Herregodts Rune	UAE Team Emirates - XRG			
OHN	DNF	 Vergaerde Otto	Lidl - Trek			
OHN	DNF	 Theuns Edward	Lidl - Trek			
OHN	DNF	 Livyns Arjen	XDS Astana Team			
OHN	DNF	 Gonov Lev	XDS Astana Team			
OHN	DNF	 Brennan Matthew	Team Visma | Lease a Bike			
OHN	DNF	 Renard-Haquin Henri-François	Team Picnic PostNL			
OHN	DNF	 van den Broek Frank	Team Picnic PostNL			
OHN	DNF	 Flynn Sean	Team Picnic PostNL			
OHN	DNF	 de Jong Timo	Team Picnic PostNL			
OHN	DNF	 Roosen Timo	Team Picnic PostNL			
OHN	DNF	 Watson Samuel	INEOS Grenadiers			
OHN	DNF	 Swift Ben	INEOS Grenadiers			
OHN	DNF	 Vandenstorme Dylan	Team Flanders - Baloise			
OHN	DNF	 Moro Manlio	Movistar Team			
OHN	DNF	 Adrià Roger	Movistar Team			
OHN	DNF	 Aular Orluis	Movistar Team			
OHN	DNF	 Van Mechelen Vlad	Bahrain - Victorious			
OHN	DNF	 Mohorič Matej	Bahrain - Victorious			
OHN	DNF	 Miquel Pau	Bahrain - Victorious			
OHN	DNF	 Hobbs Noah	EF Education - EasyPost			
OHN	DNF	 Simmons Colby	EF Education - EasyPost			
OHN	DNF	 Honoré Mikkel Frølich	EF Education - EasyPost			
OHN	DNF	 Küng Stefan	Tudor Pro Cycling Team			
OHN	DNF	 Kelemen Petr	Tudor Pro Cycling Team			
OHN	DNF	 Mikutis Aivaras	Tudor Pro Cycling Team			
OHN	DNF	 Pluimers Rick	Tudor Pro Cycling Team			
