Renner	Prijs	Team	OML	KBK	SAM	STR	NOK	BKC	MSR	RVB	E3	IFF	DDV	RVV	SP	PR	RVL	BRP	AGT	WAP	LBL	Races	Specialiteit
GILMORE Brady	2	NSN Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
CÔTÉ Pier-André	2	NSN Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Oneday
SMITH Dion	2	NSN Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
BENNETT George	2	NSN Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
RAISBERG Nadav	2	NSN Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
DONOVAN Mark	2	Pinarello Q36.5 Pro Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
GLOAG Thomas	2	Pinarello Q36.5 Pro Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
AZPARREN Xabier Mikel	2	Pinarello Q36.5 Pro Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TT
BADILATTI Matteo	2	Pinarello Q36.5 Pro Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
BAX Sjoerd	2	Pinarello Q36.5 Pro Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
CALZONI Walter	2	Pinarello Q36.5 Pro Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
CAMPRUBÍ Marcel	2	Pinarello Q36.5 Pro Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
HOUCOU Emmanuel	2	Pinarello Q36.5 Pro Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sprint
PIDCOCK Joseph	2	Pinarello Q36.5 Pro Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
VANHOUCKE Harm	2	Pinarello Q36.5 Pro Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
HAJEK Alexander	2	Red Bull - BORA - hansgrohe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
ZWIEHOFF Ben	2	Red Bull - BORA - hansgrohe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
ALEOTTI Giovanni	2	Red Bull - BORA - hansgrohe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
HERZOG Emil	2	Red Bull - BORA - hansgrohe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Oneday
MOSCON Gianni	2	Red Bull - BORA - hansgrohe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Oneday
THORNLEY Callum	2	Red Bull - BORA - hansgrohe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TT
TUCKWELL Luke	2	Red Bull - BORA - hansgrohe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Climber
WANDAHL Frederik	2	Red Bull - BORA - hansgrohe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Oneday
BONNEU Kamiel	2	Solution Tech NIPPO Rali	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
ARASHIRO Yukiya	2	Solution Tech NIPPO Rali	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Oneday
ARCHIBOLD Franklin	2	Solution Tech NIPPO Rali	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TT
BALMER Alexandre	2	Solution Tech NIPPO Rali	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Oneday
CONTI Valerio	2	Solution Tech NIPPO Rali	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
ĐURIĆ Đorđe	2	Solution Tech NIPPO Rali	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sprint
FABBRO Matteo	2	Solution Tech NIPPO Rali	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
FINKŠT Tilen	2	Solution Tech NIPPO Rali	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sprint
GAZZOLI Michele	2	Solution Tech NIPPO Rali	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
GONZÁLEZ Roberto Carlos	2	Solution Tech NIPPO Rali	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TT
GRANGER Ben	2	Solution Tech NIPPO Rali	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Oneday
IACCHI Alessandro	2	Solution Tech NIPPO Rali	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
MEO Felix James	2	Solution Tech NIPPO Rali	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
NENCINI Tommaso	2	Solution Tech NIPPO Rali	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sprint
PIRAS Andrea	2	Solution Tech NIPPO Rali	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sprint
REGNANTI Matteo	2	Solution Tech NIPPO Rali	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sprint
SAMUDIO Carlos	2	Solution Tech NIPPO Rali	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TT
UMBA Santiago	2	Solution Tech NIPPO Rali	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
VERRANDO Luca	2	Solution Tech NIPPO Rali	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Oneday
VIVIANI Attilio	2	Solution Tech NIPPO Rali	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sprint
BASTIAENS Ayco	2	Soudal - Quick Step	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	GC
VERVAEKE Louis	2	Soudal - Quick Step	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
BAUWENS Siebe	2	Tarteletto - Isorex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HARTEEL Jelle	2	Tarteletto - Isorex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sprint
KILLY Jonah	2	Tarteletto - Isorex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
LEFEVRE Fabrice	2	Tarteletto - Isorex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MARCHAND Gianni	2	Tarteletto - Isorex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
ROMMELAERE Iben	2	Tarteletto - Isorex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TEUGELS Lennert	2	Tarteletto - Isorex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
VANHEEL Elias	2	Tarteletto - Isorex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MARIS Elias	2	Team Flanders - Baloise	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
DENS Tuur	2	Team Flanders - Baloise	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Oneday
Thonnon Senne	2	Team Flanders - Baloise	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Van den Haute Milan	2	Team Flanders - Baloise	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
VANDENABEELE Henri	2	Team Flanders - Baloise	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
VANDENBRANDEN Noah	2	Team Flanders - Baloise	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	TT
DE PRETTO Davide	2	Team Jayco AlUla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
GAMPER Patrick	2	Team Jayco AlUla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Oneday
HELLEMOSE Asbjørn	2	Team Jayco AlUla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
JUUL-JENSEN Christopher	2	Team Jayco AlUla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
MCKENZIE Hamish	2	Team Jayco AlUla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
PICKERING Finlay	2	Team Jayco AlUla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Climber
PORTER Rudy	2	Team Jayco AlUla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
SÜTTERLIN Jasha	2	Team Jayco AlUla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TT
ARMITT Hamish	2	Team Novo Nordisk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
BEADLE Hamish	2	Team Novo Nordisk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sprint
BRAND Sam	2	Team Novo Nordisk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
Colladon Jacopo	2	Team Novo Nordisk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAUGE Lucas	2	Team Novo Nordisk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Climber
DE GRAEVE Quinten	2	Team Novo Nordisk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
IRVINE Declan	2	Team Novo Nordisk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TT
Lopez Juan Jose	2	Team Novo Nordisk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOZANO David	2	Team Novo Nordisk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
Mackie Donovan	2	Team Novo Nordisk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCDONALD Bailey	2	Team Novo Nordisk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
MULLER Anton	2	Team Novo Nordisk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
PERON Andrea	2	Team Novo Nordisk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sprint
POLGA Antonio	2	Team Novo Nordisk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sprint
POLI Umberto	2	Team Novo Nordisk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sprint
Posnic Louis-Marie	2	Team Novo Nordisk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RIDOLFO Filippo	2	Team Novo Nordisk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sprint
SMITH Nathan	2	Team Novo Nordisk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sprint
Terrier Lucas	2	Team Novo Nordisk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WATTELLE Célestin	2	Team Novo Nordisk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sprint
KOERDT Bjorn	2	Team Picnic PostNL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
MARTINEZ Juan Guillermo	2	Team Picnic PostNL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
HAMILTON Chris	2	Team Picnic PostNL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
DHONDT Robbe	2	Team Picnic PostNL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
DINHAM Matthew	2	Team Picnic PostNL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Oneday
FAURE PROST Alexy	2	Team Picnic PostNL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
KNOX James	2	Team Picnic PostNL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
LEEMREIZE Gijs	2	Team Picnic PostNL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Climber
PEACE Oliver	2	Team Picnic PostNL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
WELTEN Bram	2	Team Picnic PostNL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Oneday
PEÑALVER Manuel	2	Team Polti VisitMalta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sprint
CRESCIOLI Ludovico	2	Team Polti VisitMalta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
TERCERO Fernando	2	Team Polti VisitMalta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
MAESTRI Mirco	2	Team Polti VisitMalta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
BAIS Davide	2	Team Polti VisitMalta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
GÓMEZ Germán Darío	2	Team Polti VisitMalta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
BAIS Mattia	2	Team Polti VisitMalta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
Benito Adrián	2	Team Polti VisitMalta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BESSEGA Gabriele	2	Team Polti VisitMalta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sprint
BESSEGA Tommaso	2	Team Polti VisitMalta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
BUTTIGIEG Aidan	2	Team Polti VisitMalta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TT
Crozzolo Fabrizio	2	Team Polti VisitMalta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GARCÍA Pablo	2	Team Polti VisitMalta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TT
Giuliano Dario	2	Team Polti VisitMalta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIFSUD Andrea	2	Team Polti VisitMalta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
MUÑOZ Francisco	2	Team Polti VisitMalta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
PESENTI Thomas	2	Team Polti VisitMalta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
PIETROBON Andrea	2	Team Polti VisitMalta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
RACCAGNI Gabriele	2	Team Polti VisitMalta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sprint
SERRANO Javier	2	Team Polti VisitMalta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
SEVILLA Diego Pablo	2	Team Polti VisitMalta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
TONELLI Alessandro	2	Team Polti VisitMalta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
SCHIFFER Anton	2	Team Visma | Lease a Bike	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
DOULL Owain	2	Team Visma | Lease a Bike	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Oneday
GRAAT Tijmen	2	Team Visma | Lease a Bike	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
HUISING Menno	2	Team Visma | Lease a Bike	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Oneday
REX Tim	2	Team Visma | Lease a Bike	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
DELBOVE Joris	2	TotalEnergies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
VERCHER Mattéo	2	TotalEnergies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
DOUBEY Fabien	2	TotalEnergies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
BREUILLARD Nicolas	2	TotalEnergies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
LE BERRE Mathis	2	TotalEnergies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
BOUCHARD Geoffrey	2	TotalEnergies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Climber
GRELLIER Fabien	2	TotalEnergies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Oneday
GUERNALEC Thibault	2	TotalEnergies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TT
JOUSSEAUME Alan	2	TotalEnergies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Oneday
LÉVÊQUE Theo	2	TotalEnergies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
RETAILLEAU Valentin	2	TotalEnergies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
VOISARD Yannis	2	Tudor Pro Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
BARTA Will	2	Tudor Pro Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TT
WARBASSE Larry	2	Tudor Pro Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
DONZÉ Robin	2	Tudor Pro Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Climber
ERIKSSON Jacob	2	Tudor Pro Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Oneday
KLUCKERS Arthur	2	Tudor Pro Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TT
LIENHARD Fabian	2	Tudor Pro Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Oneday
SUTER Joel	2	Tudor Pro Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TT
WEISS Fabian	2	Tudor Pro Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TT
WILKSCH Hannes	2	Tudor Pro Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
WIRTGEN Luc	2	Tudor Pro Cycling Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
PERICAS Adrià	2	UAE Team Emirates - XRG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
TORRES Pablo	2	UAE Team Emirates - XRG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
MAIRE Adrien	2	Unibet Rose Rockets	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Climber
CHRISTOPHERSEN Cedrik Bakke	2	Unibet Rose Rockets	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
AUGÉ Ronan	2	Unibet Rose Rockets	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sprint
FOUGNER Eivind Broholt	2	Unibet Rose Rockets	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Climber
GELEIJN Owen	2	Unibet Rose Rockets	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
MERIS Sergio	2	Unibet Rose Rockets	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
PETER Jannis	2	Unibet Rose Rockets	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
SAVIOZ Colin	2	Unibet Rose Rockets	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Climber
STOCKMAN Abram	2	Unibet Rose Rockets	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sprint
ŤOUPALÍK Adam	2	Unibet Rose Rockets	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
VERSCHUREN Killian	2	Unibet Rose Rockets	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
CHARMIG Anthon	2	Uno-X Mobility	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
LØLAND Sakarias Koller	2	Uno-X Mobility	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
HOLTER Ådne	2	Uno-X Mobility	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
TJØTTA Martin	2	Uno-X Mobility	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
BLUME LEVY William	2	Uno-X Mobility	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Oneday
DALBY Simon	2	Uno-X Mobility	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
DVERSNES Fredrik	2	Uno-X Mobility	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Oneday
SKAARSETH Anders	2	Uno-X Mobility	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Oneday
SVARRE Tobias	2	Uno-X Mobility	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
MULUBRHAN Henok	2	XDS Astana Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
CONCI Nicola	2	XDS Astana Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
KAJAMINI Florian Samuel	2	XDS Astana Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Hills
KUZMIN Anton	2	XDS Astana Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GC
SCHRETTL Marco	2	XDS Astana Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Oneday
SU Haoyu	2	XDS Astana Team	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TT
